bandwidth_gbps,cache_capacity_per_layer,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,window_size,workload_weighted_miss_rate
41.37220609315469,1,0.0,0,214208,214208,75470091583488.0,352321536.0,8,144761.77018404007,0.07935744696743353,on_demand,0,0,0.0,0,1824173.7318420408,545.0175476074218,17.03179836273193,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
41.37220609315469,1,0.07935744696743352,16999,197209,197209,69480977793024.0,352321536.0,8,0.0,0.0,lru,0,0,0.0,0,1679411.9616580007,501.7663464768452,15.680198327401412,214208,69480977793024.0,20759180697.049297,648724396.7827905,0.0,0,0.9206425530325665
41.37220609315469,1,0.1648677920525844,35316,178892,178892,63027504218112.0,352321536.0,8,-155985.7253050804,-0.10239138698208977,static_hot,0,0,0.0,0,1523426.2363529203,455.16170790347184,14.223803371983495,214208,63027504218112.0,18831043985.09471,588470124.5342097,0.0,0,0.8351322079474156
41.37220609315469,1,0.07935744696743352,16999,197209,197209,69480977793024.0,352321536.0,8,0.0,0.0,belady_oracle,0,0,0.0,0,1679411.9616580007,501.7663464768452,15.680198327401412,214208,69480977793024.0,20759180697.049297,648724396.7827905,0.0,0,0.9206425530325665
41.37220609315469,1,0.19990850014938752,42822,171386,171386,60382978768896.0,352321536.0,8,-219906.06456041336,-0.15067158344322176,route_window_prefetch,421342,2,148447860621312.0,378520,1459505.8970975874,436.0639071101247,13.626997097191397,214208,208830839390208.0,62393438718.3173,1949794959.9474156,133360747806720.0,8,0.8000914998506125
41.37220609315469,2,0.0,0,214208,214208,75470091583488.0,352321536.0,8,,,on_demand,0,0,0.0,0,1824173.7318420408,545.0175476074218,17.03179836273193,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
41.37220609315469,2,0.3100771213026591,66421,147787,147787,52068542840832.0,352321536.0,8,,,lru,0,0,0.0,0,1258539.192316532,376.0200753858775,11.750627355808671,214208,52068542840832.0,15556780054.028086,486149376.6883777,0.0,0,0.6899228786973409
41.37220609315469,2,0.3131022184045414,67069,147139,147139,51840238485504.0,352321536.0,8,,,static_hot,0,0,0.0,0,1253020.8896470068,374.37134438213525,11.699104511941727,214208,51840238485504.0,15488568415.149088,484017762.973409,0.0,0,0.6868977815954587
41.37220609315469,2,0.45633216313116226,97750,116458,116458,41030661439488.0,352321536.0,8,,,belady_oracle,0,0,0.0,0,991744.5868635176,296.3085111632858,9.259640973852681,214208,41030661439488.0,12258936791.003286,383091774.7188527,0.0,0,0.5436678368688378
41.37220609315469,2,0.3921282118314909,83997,130211,130211,45876139524096.0,352321536.0,8,,,route_window_prefetch,413175,2,145570450636800.0,330075,1108863.7483048437,331.300791247339,10.353149726479344,214208,191446590160896.0,57199459265.28115,1787483102.040036,116292530995200.0,8,0.6078717881685091
41.37220609315469,4,0.0,0,214208,214208,75470091583488.0,352321536.0,8,,,on_demand,0,0,0.0,0,1824173.7318420408,545.0175476074218,17.03179836273193,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
41.37220609315469,4,0.5854963400059755,125418,88790,88790,31282629181440.0,352321536.0,8,,,lru,0,0,0.0,0,756126.6883134841,225.91176824424383,7.05974275763262,214208,31282629181440.0,9346468234.669853,292077132.3334329,0.0,0,0.4145036599940245
41.37220609315469,4,0.5787458918434419,123972,90236,90236,31792086122496.0,352321536.0,8,,,static_hot,0,0,0.0,0,768440.6785297393,229.59088094703893,7.174715029594966,214208,31792086122496.0,9498681243.649836,296833788.86405736,0.0,0,0.4212541081565581
