bandwidth_gbps,cache_capacity_per_layer,cache_hit_rate,demand_hits,demand_loads,demand_misses,demand_transfer_bytes,expert_bytes,num_experts,oracle_gap_ms,oracle_gap_ratio,policy,prefetch_loads,prefetch_queue_depth,prefetch_transfer_bytes,prefetch_waste_count,stall_ms,stall_ms_per_input_token,stall_ms_per_token_layer_event,total_expert_refs,transfer_bytes,transfer_bytes_per_input_token,transfer_bytes_per_token_layer_event,waste_bytes,window_size,workload_weighted_miss_rate
16.0,1,0.0,0,214208,214208,75470091583488.0,352321536.0,8,374319.61190400086,0.0793574469674337,on_demand,0,0,0.0,0,4716880.723968,1409.2861440000001,44.040192000000005,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
16.0,1,0.07935744696743352,16999,197209,197209,69480977793024.0,352321536.0,8,0.0,0.0,lru,0,0,0.0,0,4342561.112063999,1297.448793565581,40.5452747989244,214208,69480977793024.0,20759180697.049297,648724396.7827905,0.0,0,0.9206425530325665
16.0,1,0.1648677920525844,35316,178892,178892,63027504218112.0,352321536.0,8,-403342.09843199933,-0.10239138698208958,static_hot,0,0,0.0,0,3939219.013632,1176.9402490684195,36.77938278338811,214208,63027504218112.0,18831043985.09471,588470124.5342097,0.0,0,0.8351322079474156
16.0,1,0.07935744696743352,16999,197209,197209,69480977793024.0,352321536.0,8,0.0,0.0,belady_oracle,0,0,0.0,0,4342561.112063999,1297.448793565581,40.5452747989244,214208,69480977793024.0,20759180697.049297,648724396.7827905,0.0,0,0.9206425530325665
16.0,1,0.19990850014938752,42822,171386,171386,60382978768896.0,352321536.0,8,-568624.9390079994,-0.15067158344322157,route_window_prefetch,421342,2,148447860621312.0,378520,3773936.173056,1127.5578646716463,35.236183270988946,214208,208830839390208.0,62393438718.3173,1949794959.9474156,133360747806720.0,8,0.8000914998506125
16.0,2,0.0,0,214208,214208,75470091583488.0,352321536.0,8,,,on_demand,0,0,0.0,0,4716880.723968,1409.2861440000001,44.040192000000005,214208,75470091583488.0,22548578304.0,704643072.0,0.0,0,1.0
16.0,2,0.3100771213026591,66421,147787,147787,52068542840832.0,352321536.0,8,,,lru,0,0,0.0,0,3254283.927552,972.2987533767554,30.384336043023605,214208,52068542840832.0,15556780054.028086,486149376.6883777,0.0,0,0.6899228786973409
16.0,2,0.3131022184045414,67069,147139,147139,51840238485504.0,352321536.0,8,,,static_hot,0,0,0.0,0,3240014.905344,968.0355259468181,30.251110185838066,214208,51840238485504.0,15488568415.149088,484017762.973409,0.0,0,0.6868977815954587
16.0,2,0.45633216313116226,97750,116458,116458,41030661439488.0,352321536.0,8,,,belady_oracle,0,0,0.0,0,2564416.339968,766.1835494377054,23.943235919928295,214208,41030661439488.0,12258936791.003286,383091774.7188527,0.0,0,0.5436678368688378
16.0,2,0.3921282118314909,83997,130211,130211,45876139524096.0,352321536.0,8,,,route_window_prefetch,413175,2,145570450636800.0,330075,2867258.720256,856.665288394383,26.770790262324468,214208,191446590160896.0,57199459265.28115,1787483102.040036,116292530995200.0,8,0.6078717881685091
